player_no,Height[cm],Back_strengh[N],Sargent_jump[cm],Reaction_time[msec],Side_step[m/s],Flexibility[cm],Position
36,172.76,109.0,67.58,194.0,35.92,18.31,Midfield
37,172.77,153.21,62.86,189.35,34.45,12.46,Forward
38,172.82,119.76,57.67,166.53,39.89,11.58,Forward
39,172.91,142.24,55.05,179.71,32.04,14.69,Forward
40,173.03,113.68,68.77,222.53,32.45,21.85,Midfield
41,173.05,121.67,68.02,176.33,39.5,25.9,Midfield
42,173.12,86.94,62.89,201.12,41.98,21.24,Midfield
43,173.18,127.27,62.94,190.16,38.92,20.78,Midfield
44,173.19,132.15,68.66,202.37,41.18,19.5,Midfield
45,173.32,155.34,57.63,218.39,31.06,18.22,Forward
46,173.33,128.75,63.31,217.63,34.29,15.7,Defender
47,173.34,151.3,58.2,205.88,33.03,10.5,Forward
48,173.43,123.9,67.39,233.05,37.66,22.13,Midfield
49,173.62,150.18,51.18,184.11,33.55,18.42,Forward
50,173.97,132.96,59.88,196.49,34.58,14.07,Forward
51,173.98,151.43,62.27,194.17,35.48,15.81,Forward
52,173.98,112.52,55.82,231.87,34.29,13.07,Forward
53,174.12,135.55,58.55,235.91,38.46,24.41,Midfield
54,174.18,110.22,60.59,200.05,35.83,9.31,Forward
55,174.27,107.32,66.22,168.64,35.46,18.23,Midfield
56,174.32,108.43,61.88,192.74,37.99,15.92,Midfield
57,174.42,135.44,54.74,208.77,34.44,10.89,Forward
58,174.49,124.93,61.99,187.41,32.22,15.57,Forward
59,174.5,129.43,56.92,198.18,37.22,15.48,Forward
60,174.52,146.03,61.31,195.85,35.34,18.34,Forward
61,174.54,158.91,61.45,196.84,36.44,12.11,Forward
62,174.75,136.26,61.03,194.72,36.56,15.03,Forward
63,174.82,121.78,68.45,213.56,39.06,16.37,Defender
64,174.83,139.58,67.17,215.44,44.43,24.06,Midfield
65,174.98,116.65,63.49,243.6,33.58,22.59,Defender
66,175.02,115.43,55.43,233.07,34.51,13.11,Defender
67,175.06,108.17,62.97,188.0,35.29,16.54,Forward
68,175.17,109.07,67.06,240.25,34.53,17.21,Defender
69,175.17,156.7,56.51,190.29,33.87,17.14,Forward
70,175.44,134.78,65.46,217.54,36.26,23.99,Midfield
71,175.52,126.74,58.86,223.08,40.35,20.43,Midfield
72,175.57,135.25,59.45,206.87,35.8,11.19,Forward
73,175.62,143.48,59.63,201.41,32.94,19.72,Forward
74,175.63,127.05,60.17,202.11,36.53,21.78,Defender
75,175.64,116.64,67.62,166.82,34.64,20.84,Midfield
76,175.68,115.95,61.93,225.69,39.12,23.89,Defender
77,175.75,145.8,55.93,197.7,36.97,13.87,Forward
78,175.76,126.96,64.5,213.28,40.4,21.75,Midfield
79,175.87,140.39,59.32,202.09,34.38,22.26,Forward
80,175.98,106.61,63.63,222.55,32.07,15.56,Defender
81,176.03,127.22,69.6,199.21,44.22,23.87,GoalKeeper
82,176.2,115.31,61.66,166.24,36.24,15.83,Forward
83,176.39,127.83,60.94,206.05,35.81,13.98,Forward
84,176.44,113.64,66.74,162.43,45.04,19.63,Midfield
85,176.47,146.22,61.87,211.83,34.43,8.86,Forward
86,176.5,127.04,53.28,203.27,31.43,12.77,Forward
87,176.54,131.68,64.32,225.02,39.05,29.95,Defender
88,176.71,123.83,58.77,193.82,36.27,13.92,Forward
89,176.78,114.69,58.18,196.96,41.72,14.78,Defender
90,176.83,134.75,67.76,223.18,42.84,22.54,Midfield
91,176.84,96.2,69.85,202.86,39.21,20.05,Midfield
92,176.87,148.85,56.21,216.67,36.2,7.86,Forward
93,177.07,153.38,55.43,204.06,30.09,5.73,Forward
94,177.17,97.65,64.76,226.34,32.89,21.18,Midfield
95,177.31,133.61,57.71,220.43,37.67,14.02,Forward
96,177.53,127.9,57.56,204.7,37.29,12.76,Forward
97,177.59,129.56,53.48,201.16,35.46,18.8,Forward
98,177.81,131.82,58.68,193.32,33.89,16.74,Forward
99,177.87,128.95,62.99,199.11,45.38,26.22,Midfield
100,177.87,113.83,64.45,202.95,35.66,12.13,Forward
101,177.88,127.82,55.79,214.52,42.25,20.92,Defender
102,177.91,121.77,70.25,211.47,35.33,19.56,Midfield
103,177.94,97.82,65.84,221.42,42.81,16.59,Defender
104,178.06,114.38,67.54,211.6,37.8,24.14,Midfield
105,178.19,111.08,56.17,225.29,39.22,17.33,Defender
106,178.22,105.82,60.36,235.98,37.51,16.58,Defender
107,178.23,129.53,57.44,228.18,35.91,19.34,Forward
108,178.26,150.75,56.06,196.93,35.04,11.94,Forward
109,178.32,114.03,71.26,178.79,42.61,22.37,Midfield
110,178.34,152.53,66.01,184.62,40.92,23.23,Midfield
111,178.35,164.38,62.53,197.73,36.15,10.71,Forward
112,178.37,107.35,65.99,220.39,39.3,14.92,Defender
113,178.39,112.31,62.19,198.2,42.51,19.62,Defender
114,178.4,124.14,65.52,212.34,39.11,22.58,Defender
115,178.48,129.07,62.32,186.21,39.64,21.44,Midfield
116,178.6,170.41,56.71,206.01,34.85,11.84,Forward
117,178.69,154.97,69.7,224.83,44.63,29.03,GoalKeeper
118,178.71,108.73,63.85,228.98,31.83,20.26,Defender
119,178.71,104.83,60.14,235.46,43.16,17.82,Defender
120,178.72,120.09,57.71,215.56,38.94,15.65,Defender
121,178.72,127.84,69.35,179.4,39.54,17.66,Midfield
122,178.76,146.16,55.91,180.2,33.76,10.45,Forward
123,178.85,120.92,64.59,221.19,42.86,24.14,Midfield
124,178.87,154.26,60.72,220.67,38.27,17.1,Midfield
125,178.9,120.58,53.82,211.32,32.56,17.32,Defender
126,178.93,105.69,56.58,208.59,40.79,22.93,Defender
127,179.02,154.69,56.82,215.01,37.66,12.3,Forward
128,179.08,130.7,50.45,214.91,37.47,16.6,Forward
129,179.1,89.75,69.01,221.99,27.71,21.31,Midfield
130,179.11,111.64,64.33,256.18,36.33,18.95,Defender
131,179.28,108.56,59.85,224.37,35.67,17.45,Defender
132,179.34,131.72,58.73,193.32,32.12,5.48,Forward
133,179.4,117.66,57.54,241.98,36.78,15.1,Defender
134,179.44,152.26,57.89,193.2,37.33,13.3,Forward
135,179.48,101.9,54.21,182.48,35.46,11.32,Forward
136,179.71,123.85,60.08,201.33,32.54,20.1,Forward
137,179.72,113.63,68.84,209.2,36.29,19.66,Midfield
138,179.75,120.1,58.21,222.12,38.74,12.36,Forward
139,179.9,119.94,59.65,216.18,42.52,16.67,Defender
140,179.91,108.13,56.8,231.94,40.5,13.34,Defender
141,179.94,126.32,51.12,194.35,33.94,10.58,Forward
142,179.97,149.97,63.62,203.71,33.78,17.07,Forward
143,180.13,99.77,59.87,218.83,36.17,14.86,Defender
144,180.15,111.05,72.37,219.02,38.05,26.33,Midfield
145,180.25,154.06,58.58,181.54,38.26,7.56,Forward
146,180.31,102.64,56.08,224.88,40.09,15.04,Defender
147,180.39,117.39,63.06,220.3,33.72,21.89,Midfield
148,180.46,113.75,59.34,208.7,39.81,19.82,Midfield
149,180.47,148.0,61.97,217.52,41.75,18.5,Midfield
150,180.52,113.65,72.74,170.64,36.25,22.21,GoalKeeper
151,180.55,125.57,58.21,203.12,35.51,16.91,Forward
152,180.73,127.02,67.69,194.83,39.69,24.45,Midfield
153,180.78,149.72,65.86,213.6,36.97,17.55,Midfield
154,180.86,137.41,67.9,200.49,43.04,21.04,Midfield
155,180.87,111.63,57.64,206.66,40.54,11.01,Defender
156,180.93,135.39,65.63,189.92,46.06,23.28,Midfield
157,180.97,133.79,55.78,218.51,37.95,17.19,Forward
158,181.02,136.31,53.44,192.28,34.74,10.98,Forward
159,181.08,133.87,62.77,215.2,39.68,21.15,Defender
160,181.18,156.26,57.56,198.81,30.36,14.47,Forward
161,181.2,125.32,57.54,191.1,37.32,11.9,Forward
162,181.31,151.49,69.46,182.35,35.35,26.83,Midfield
163,181.33,123.38,59.78,210.46,33.34,17.7,Forward
164,181.36,115.48,57.07,208.38,38.14,24.67,Defender
165,181.42,105.08,61.48,213.19,34.13,21.6,Midfield
166,181.47,147.45,57.45,191.79,36.77,16.64,Forward
167,181.49,90.56,61.43,216.81,38.42,11.89,Defender
168,181.51,141.05,60.94,240.78,38.4,22.23,Midfield
169,181.52,96.56,60.85,200.67,34.56,18.93,Defender
170,181.55,136.52,68.95,212.01,40.48,21.62,Midfield
171,181.7,131.73,63.21,289.03,37.82,26.25,Midfield
172,181.7,152.71,67.61,221.45,40.01,27.98,GoalKeeper
173,181.75,93.34,54.1,209.88,36.59,14.99,Defender
174,181.77,131.03,65.1,207.01,40.27,22.88,Midfield
175,182.02,161.42,70.97,196.42,38.11,26.73,GoalKeeper
176,182.03,107.8,62.99,224.36,45.77,14.28,Defender
177,182.05,124.03,64.23,238.05,42.69,23.92,Midfield
178,182.11,129.34,52.16,195.85,33.38,13.97,Forward
179,182.12,107.47,51.22,200.95,36.75,10.54,Forward
180,182.16,130.08,71.91,229.81,30.63,14.12,Defender
181,182.18,110.41,62.68,208.68,36.76,18.97,Defender
182,182.19,111.11,62.05,193.17,37.04,23.26,Midfield
183,182.22,98.48,59.35,197.42,36.86,17.35,Defender
184,182.23,103.09,60.91,212.39,38.47,21.77,Defender
185,182.27,132.83,56.83,199.18,30.73,15.93,Forward
186,182.37,100.01,59.88,225.65,35.48,15.43,Forward
187,182.46,114.72,61.77,223.48,32.22,11.99,Forward
188,182.56,102.42,61.86,224.57,40.66,14.15,Defender
189,182.57,147.36,66.92,196.01,37.04,23.91,GoalKeeper
190,182.62,114.59,56.21,220.6,42.28,25.96,Midfield
191,182.65,136.54,59.92,219.14,39.73,24.01,Midfield
192,182.66,132.65,60.99,218.59,37.91,19.67,Defender
193,182.85,138.4,61.93,195.43,42.99,23.05,Midfield
194,182.89,117.46,58.83,230.11,33.86,12.51,Forward
195,182.91,128.65,64.36,227.78,44.45,19.49,Midfield
196,182.93,116.17,63.31,216.33,34.36,23.99,Defender
197,182.99,106.1,60.42,220.71,43.63,20.78,Defender
198,183.08,103.36,58.33,245.94,44.66,16.97,Defender
199,183.13,124.28,73.26,217.19,44.48,28.87,GoalKeeper
200,183.17,120.62,69.06,199.36,40.87,22.45,Defender
201,183.26,115.37,58.53,229.12,40.48,24.69,Defender
202,183.27,120.29,60.55,224.67,42.17,11.64,Defender
203,183.29,128.61,65.27,188.27,42.25,26.39,GoalKeeper
204,183.3,95.94,62.15,196.98,31.62,10.43,Defender
205,183.31,130.09,57.81,186.36,35.57,13.87,Forward
206,183.38,107.83,58.87,220.57,38.17,18.58,Defender
207,183.51,119.78,62.79,236.55,45.6,14.42,Defender
208,183.52,106.65,65.83,225.24,40.27,15.18,Defender
209,183.53,122.61,66.44,221.32,41.24,13.74,Defender
210,183.55,103.5,67.0,211.39,37.72,20.01,Defender
211,183.56,113.6,65.36,178.79,39.19,21.67,Midfield
212,183.56,146.95,67.98,223.84,41.11,29.12,GoalKeeper
213,183.62,118.54,66.42,192.14,36.81,22.07,Midfield
214,183.72,114.73,62.02,233.02,37.69,17.89,Midfield
215,183.75,126.26,66.55,194.41,36.95,21.45,Midfield
216,183.75,145.24,56.71,191.48,36.59,15.35,Forward
217,183.79,131.35,67.11,182.77,36.91,24.56,Midfield
218,183.8,86.81,55.6,213.31,36.53,13.01,Defender
219,183.81,113.38,66.59,221.69,38.07,16.23,Defender
220,183.86,139.81,60.38,196.96,35.34,15.45,Forward
221,184.07,153.19,58.18,184.68,33.3,12.02,Forward
222,184.07,110.22,63.05,217.99,43.42,24.25,Midfield
223,184.08,135.81,62.44,236.25,38.41,27.94,GoalKeeper
224,184.1,155.22,63.71,220.89,41.67,21.98,Midfield
225,184.11,129.1,55.48,191.9,34.62,11.71,Forward
226,184.12,128.53,63.82,164.09,42.34,22.04,Midfield
227,184.14,127.99,60.33,211.89,36.04,21.09,Midfield
228,184.14,103.78,59.79,212.3,34.93,14.35,Forward
229,184.3,154.58,65.21,206.22,39.89,27.89,GoalKeeper
230,184.32,113.29,63.53,219.98,42.16,22.33,Defender
231,184.35,161.8,66.6,189.02,43.6,32.84,GoalKeeper
232,184.36,128.64,53.78,219.38,35.1,12.76,Forward
233,184.41,126.64,55.71,198.24,33.04,15.75,Forward
234,184.47,121.96,66.14,215.72,38.47,9.28,Defender
235,184.5,138.81,66.08,179.24,42.6,32.46,GoalKeeper
236,184.53,131.06,67.25,194.25,46.24,28.5,GoalKeeper
237,184.59,154.88,55.33,201.41,35.31,17.49,Forward
238,184.74,119.49,57.65,191.46,35.13,9.86,Forward
239,184.79,109.08,59.09,217.16,36.96,21.72,Defender
240,184.87,97.35,61.38,202.35,36.08,14.67,Defender
241,185.05,105.61,59.62,214.61,44.44,17.83,Midfield
242,185.12,145.29,65.63,198.66,37.76,19.29,Midfield
243,185.19,119.46,56.56,237.71,37.36,22.54,Midfield
244,185.21,170.56,68.91,200.21,36.77,29.92,GoalKeeper
245,185.24,147.95,64.91,196.07,37.25,16.48,Forward
246,185.27,118.55,61.14,199.31,37.88,8.86,Forward
247,185.29,118.8,55.62,211.44,35.12,14.6,Defender
248,185.31,154.91,66.57,208.32,42.87,29.68,GoalKeeper
249,185.44,111.01,58.37,229.34,32.17,21.04,Defender
250,185.47,131.57,65.95,210.75,39.83,26.52,GoalKeeper
251,185.5,129.63,57.68,204.68,35.27,14.07,Defender
252,185.56,108.19,67.16,186.3,37.31,27.56,GoalKeeper
253,185.57,111.65,61.71,203.83,37.18,14.57,Defender
254,185.62,126.62,68.47,246.49,37.11,22.74,GoalKeeper
255,185.7,183.76,78.41,220.9,41.36,29.93,GoalKeeper
256,185.72,100.26,61.74,223.07,37.92,18.12,Defender
257,185.81,137.46,58.38,185.86,34.48,8.49,Forward
258,185.89,124.3,58.56,220.41,36.44,20.55,Defender
259,185.94,108.26,61.25,176.22,35.7,20.81,Midfield
260,185.97,137.76,70.41,194.88,40.62,24.7,GoalKeeper
261,186.25,152.43,67.67,198.01,34.34,23.97,Midfield
262,186.26,118.13,61.82,227.84,38.31,18.51,Defender
263,186.26,140.75,67.3,238.3,38.09,28.89,GoalKeeper
264,186.3,116.53,59.14,235.27,40.14,21.97,Midfield
265,186.32,116.31,56.45,206.32,32.24,13.33,Defender
266,186.34,132.35,59.35,186.07,37.22,16.25,Forward
267,186.38,133.85,71.47,163.47,38.13,22.42,GoalKeeper
268,186.4,118.1,72.46,184.39,42.27,17.07,Midfield
269,186.45,140.97,71.7,224.47,47.55,23.87,GoalKeeper
270,186.45,166.66,72.96,204.99,36.58,26.25,GoalKeeper
271,186.47,114.62,63.21,243.43,37.61,15.86,Defender
272,186.48,118.44,68.32,211.33,43.67,28.49,GoalKeeper
273,186.53,103.64,65.3,211.9,42.84,21.11,Midfield
274,186.56,115.04,66.62,182.01,42.19,26.28,Midfield
275,186.63,140.64,64.43,192.29,38.9,24.09,GoalKeeper
276,186.78,119.88,68.37,174.74,44.92,21.47,Midfield
277,186.84,124.86,59.7,188.99,44.97,23.85,Midfield
278,186.84,138.01,68.32,188.23,39.03,22.2,GoalKeeper
279,186.88,115.65,63.92,204.02,33.61,19.32,Forward
280,186.88,107.96,59.77,198.22,32.94,14.22,Forward
281,186.9,150.79,67.67,201.79,41.73,27.33,GoalKeeper
282,186.99,134.12,61.95,215.43,36.56,17.88,Defender
283,187.01,139.56,65.98,209.37,32.31,12.75,Forward
284,187.01,91.44,60.09,216.09,33.63,21.23,Defender
285,187.03,120.34,61.27,204.78,39.63,18.71,Defender
286,187.06,139.33,58.31,197.87,39.73,16.82,Forward
287,187.09,134.33,70.68,199.79,40.85,24.8,GoalKeeper
288,187.1,138.24,58.13,210.04,33.05,21.09,Defender
289,187.2,133.74,68.16,200.02,40.59,31.05,GoalKeeper
290,187.22,139.48,71.3,234.8,40.71,28.04,GoalKeeper
291,187.27,123.42,63.23,197.93,43.84,25.91,Midfield
292,187.3,115.66,60.64,215.92,38.23,17.98,Defender
293,187.32,87.35,62.15,223.65,39.47,14.56,Defender
294,187.39,159.94,73.39,228.14,41.83,27.66,GoalKeeper
295,187.45,124.65,63.1,199.47,38.44,21.03,GoalKeeper
296,187.45,109.66,55.18,213.06,40.13,12.86,Defender
297,187.5,133.09,68.71,193.45,42.08,29.95,GoalKeeper
298,187.51,158.07,64.6,222.2,36.31,20.92,GoalKeeper
299,187.56,130.75,53.87,228.11,39.31,18.38,Forward
300,187.61,129.97,68.89,176.52,38.57,23.6,GoalKeeper
301,187.64,151.14,72.67,220.67,41.42,28.26,GoalKeeper
302,187.88,132.4,59.54,212.43,34.95,13.13,Forward
303,187.96,144.02,74.53,194.0,39.42,28.61,GoalKeeper
304,188.02,106.16,55.58,192.52,32.62,11.29,Forward
305,188.02,139.53,64.15,216.36,37.7,26.28,GoalKeeper
306,188.03,111.71,65.57,235.73,37.28,13.84,Defender
307,188.05,125.16,71.56,191.46,40.42,26.1,GoalKeeper
308,188.14,145.45,61.71,207.3,34.56,18.7,Midfield
309,188.19,128.74,62.71,223.4,43.61,17.07,Defender
310,188.24,115.78,62.99,207.21,42.31,22.88,Midfield
311,188.29,141.74,63.01,209.01,40.31,30.97,GoalKeeper
312,188.75,125.47,58.23,209.37,37.8,21.68,Defender
313,188.85,153.57,56.72,203.3,32.72,11.56,Forward
314,188.99,152.3,66.47,199.14,46.47,25.65,GoalKeeper
315,189.09,131.33,70.33,186.52,41.66,26.29,GoalKeeper
316,189.16,91.57,69.07,186.13,26.7,12.67,Defender
317,189.18,136.67,63.73,183.57,42.34,27.86,GoalKeeper
318,189.21,169.45,67.59,163.93,34.66,21.43,GoalKeeper
319,189.42,140.24,55.64,212.1,39.09,15.41,Forward
320,189.43,105.15,63.74,215.54,37.08,20.41,Defender
321,189.43,118.97,74.55,203.56,34.9,23.11,GoalKeeper
322,189.47,136.11,71.06,195.24,36.61,25.44,GoalKeeper
323,189.47,127.64,59.02,212.44,44.08,20.02,Midfield
324,189.51,118.07,65.29,207.18,40.17,21.28,Midfield
325,189.55,130.46,70.94,210.38,43.23,29.13,GoalKeeper
326,189.58,132.67,68.67,202.08,39.57,29.53,GoalKeeper
327,189.63,149.06,64.14,216.53,41.61,29.4,GoalKeeper
328,189.69,101.38,62.16,212.02,32.55,10.79,Defender
329,189.81,133.04,69.78,206.07,38.3,24.99,GoalKeeper
330,189.87,155.51,66.78,199.54,45.37,26.17,GoalKeeper
331,190.01,167.3,64.29,198.41,42.96,28.82,GoalKeeper
332,190.07,150.24,71.29,199.44,36.23,23.95,GoalKeeper
333,190.19,142.65,74.92,201.64,39.12,20.9,GoalKeeper
334,190.28,155.6,69.08,206.07,39.84,28.6,GoalKeeper
335,190.46,124.25,65.65,179.59,41.87,27.9,GoalKeeper
336,190.56,135.02,65.36,216.83,39.67,26.21,GoalKeeper
337,190.57,168.64,70.08,209.15,40.28,34.42,GoalKeeper
338,190.57,139.86,67.11,203.46,37.29,24.14,GoalKeeper
339,190.57,130.95,72.34,221.18,35.29,25.46,GoalKeeper
340,190.64,158.13,70.04,225.01,37.23,30.23,GoalKeeper
341,190.74,143.11,62.87,217.14,37.82,23.16,Midfield
342,190.85,151.19,70.61,220.36,38.61,25.97,GoalKeeper
343,190.96,150.97,70.5,221.18,38.34,30.9,GoalKeeper
344,191.11,152.47,66.14,182.68,37.3,29.49,GoalKeeper
345,191.18,130.51,67.43,194.4,38.53,31.05,GoalKeeper
346,191.3,100.65,60.58,226.79,34.08,22.66,Defender
347,191.45,131.82,65.34,202.37,41.85,27.9,GoalKeeper
348,191.5,157.31,72.13,168.61,41.76,30.45,GoalKeeper
349,191.72,142.37,66.0,240.57,39.83,27.04,GoalKeeper
350,191.72,171.35,68.03,204.7,35.48,24.02,GoalKeeper
351,191.72,117.98,67.81,226.09,46.08,20.11,Defender
352,191.74,137.27,69.08,190.67,35.21,21.88,Midfield
353,191.76,131.12,73.46,234.09,39.9,27.21,GoalKeeper
354,191.91,156.52,64.83,220.01,33.65,25.49,GoalKeeper
355,191.92,168.14,67.8,202.46,43.24,21.62,GoalKeeper
356,191.93,124.51,64.58,219.34,33.7,20.49,Midfield
357,191.98,137.64,67.08,241.53,37.12,21.82,GoalKeeper
358,192.01,145.23,69.09,235.33,40.22,26.46,GoalKeeper
359,192.04,127.14,52.98,203.6,34.34,10.32,Defender
360,192.08,160.06,71.29,180.62,44.15,23.65,GoalKeeper
361,192.15,145.28,59.8,193.9,36.46,19.78,Forward
362,192.21,128.21,67.4,191.75,39.22,26.36,Midfield
363,192.22,116.52,58.98,189.27,40.51,10.13,Defender
364,192.49,147.72,72.66,214.48,39.28,26.95,GoalKeeper
365,192.55,131.87,59.46,182.11,31.07,13.0,Forward
366,192.57,157.19,71.04,189.07,38.3,28.94,GoalKeeper
367,192.83,152.77,62.7,217.69,42.03,26.07,GoalKeeper
368,192.96,120.89,65.23,235.69,33.2,18.97,Midfield
369,193.07,156.13,71.72,210.23,35.54,22.94,GoalKeeper
370,193.11,133.89,61.4,216.94,34.4,26.86,Midfield
371,193.19,162.07,68.43,177.3,39.5,24.67,GoalKeeper
372,193.25,142.7,69.33,226.04,35.51,30.74,GoalKeeper
373,193.29,118.94,71.1,240.01,39.04,18.31,Midfield
374,193.32,126.53,62.67,219.46,36.8,15.87,Defender
375,193.32,116.07,74.17,205.41,37.05,24.66,GoalKeeper
376,193.38,104.67,55.2,219.78,34.38,16.79,Defender
377,193.43,141.19,54.78,188.9,38.12,10.09,Forward
378,193.45,125.35,68.77,227.18,37.5,22.83,GoalKeeper
379,193.52,141.57,64.06,228.3,40.23,22.61,GoalKeeper
380,193.67,164.79,67.97,228.48,43.33,25.83,GoalKeeper
381,194.19,135.47,71.0,245.58,36.86,26.44,GoalKeeper
382,194.23,150.44,73.54,234.72,38.09,24.09,GoalKeeper
383,194.33,71.55,60.0,192.33,42.05,21.18,Defender
384,194.35,156.65,69.87,213.04,39.31,23.36,GoalKeeper
385,194.37,127.0,71.2,210.65,37.42,30.64,GoalKeeper
386,194.4,132.72,63.33,201.22,35.37,13.29,Forward
387,194.9,110.23,65.97,203.84,44.53,14.69,Defender
388,195.1,134.61,72.47,193.94,39.64,30.11,GoalKeeper
389,195.2,135.6,70.19,214.14,37.78,27.9,GoalKeeper
390,195.41,139.48,74.32,253.93,41.08,29.71,GoalKeeper
391,196.51,151.19,69.92,214.09,35.48,22.11,GoalKeeper
392,196.83,117.6,57.42,209.91,43.9,16.47,Defender
393,197.22,110.89,62.88,225.56,40.2,16.19,Defender
394,197.22,133.4,72.01,221.75,38.38,16.55,GoalKeeper
395,197.64,154.34,67.32,191.65,35.85,25.69,GoalKeeper
396,197.67,160.57,69.82,211.02,37.56,25.76,GoalKeeper
397,198.83,115.16,59.97,220.97,30.23,22.58,Defender
398,198.9,152.45,71.08,218.34,40.81,24.41,GoalKeeper
399,198.99,160.27,70.5,213.81,35.85,23.99,GoalKeeper
